city;cityPop;countryPop
Aarhus;326676;5450661
Amsterdam;848861;16491461
Antwerp;510610;10379067
Athens;664046;10688058
Barcelona;1608746;40397842
Berlin;3670999;82422299
Birmingham;1111307;60609153
Braga;181494;10605870
Brno;378327;10235455
Brusssels;1175173;10379067
Bucharest;2106144;22303552
Budapest;1759407;9981334
Celje;37540;2010347
Charleroi;202182;10379067
Cluj-Napoca;324576;22303552
Copenhagen;583348;5450661
Cracow;762448;38536869
Debrecen;203059;9981334
Espoo;270416;5231372
Ghent;257029;10379067
Glasgow;606340;60609153
Goteborg;541145;9016596
Graz;280200;8192880
Hamburg;1787408;82422299
Helsinki;630752;5231372
Iasi;362142;22303552
Linz;200839;8192880
Lisbon;547631;10605870
Ljubljana;279756;2010347
Lodz;698688;38536869
London;8673713;60609153
Lyon;491268;60876136
Madrid;3141991;40397842
Malmo;321970;9016596
Maribor;95881;2010347
Marseille;852516;60876136
Milan;1350387;58133509
Miskolc;158101;9981334
Munich;1542860;82422299
Naples;972638;58133509
Narva;58375;1324333
Odense;175245;5450661
Ostrava;294200;10235455
Paris;2244000;60876136
Patras;260308;10688058
Plovdiv;341625;7385367
Porto;287591;10605870
Prague;1267449;10235455
Rijeka;128624;4494749
Rome;2870336;58133509
Rotterdam;638221;16491461
Salonica;325182;10688058
Sofia;1260120;7385367
Split;178102;4494749
Stockholm;925934;9016596
Szeged;162621;9981334
Tallinn;444085;1324333
Tampere;224485;5231372
Tartu;93687;1324333
The Hague;524305;16491461
Thessaloniki;325182;10688058
Timisoara;319279;22303552
Turku;186030;5231372
Valencia;786189;40397842
Varna;334466;7385367
Vienna;1867960;8192880
Vila Nova de Gaia;302295;10605870
Warsaw;1748916;38536869
Zagreb;790017;4494749
