city;faircourt;safe;broke;workdis;trust;corruption;freedom;bribe;houdem;busfine;govopen;lawful;share;cluster;overMillion;capital
Aarhus;1.202269918;1.320992697;0.521108055;-1.021339415;1.694022383;1.361003562;1.278297061;-0.627321575;0.166896301;0.099746926;1.539628482;0.953954718;0.064196469;3;0;0
Amsterdam;2.586418266;0.948958019;0.334805175;0.128292227;0.194502891;0.990521117;1.542957485;-0.841832244;1.485891737;-0.672782838;0.686340407;0.872557922;-0.082534963;3;0;1
Antwerp;-0.550984656;-0.105140235;0.707410935;-0.216597266;-0.330328932;0.748902132;0.413739677;-0.673288147;0.369818676;-1.164392688;0.515682793;0.899690188;-0.122018583;3;0;0
Athens;0.187227796;-1.469267387;1.080016694;0.933034376;-0.605240839;-0.249789676;-0.909562442;1.824228933;0.623471644;1.223426583;-1.574872989;-0.728245729;0.102289374;2;0;1
Barcelona;-1.473750222;0.018871324;0.148502295;1.392887032;-0.555256856;0.072368972;-0.609613961;-0.872476626;1.333699956;-0.11094301;0.6010116;0.085722229;-0.284584962;1;1;0
Berlin;0.371780909;-0.167146015;0.148502295;0.358218555;-0.080409016;0.60393074;0.625468016;-0.596677193;0.57274105;-0.462092903;0.003709948;0.248515821;-0.202789269;1;1;1
Birmingham;0.279504352;0.266894443;0.334805175;-0.216597266;-0.055417025;0.571714875;0.898950454;-0.7498991;-0.695523792;-0.251402967;1.155648848;0.981086983;-0.657234516;3;1;0
Braga;-0.4587081;0.7009349;1.080016694;1.04799754;0.269478865;-0.00817069;0.140257239;0.38394301;0.217626895;0.169976905;1.198313252;0.329912617;-0.678445628;1;0;0
Brno;0.094951239;0.018871324;0.707410935;0.588144883;-0.005433042;-0.07260242;0.122613211;-0.611999384;0.471279863;0.521126798;-1.105564548;0.112854495;-0.334189107;1;0;0
Brusssels;-0.643261213;-1.407261608;2.011531093;1.04799754;-0.080409016;-0.153142082;-0.000894987;0.292009866;0.01470452;-1.164392688;-0.422934089;0.6554998;0.988443722;1;1;1
Bucharest;0.002674683;-1.097232709;-1.155617863;-0.446523594;-0.080409016;-0.958538701;-0.830164315;1.410529785;-0.340409636;-1.09416271;-0.294940878;-1.162361973;0.662490704;2;1;1
Budapest;0.648610579;0.266894443;0.148502295;-0.906376251;0.719334713;-0.410869;-0.600791947;0.108143578;-1.050637947;1.504346498;1.155648848;-0.728245729;2.08182756;1;1;1
Celje;-0.366431543;-0.043134455;-0.969314983;-0.561486758;-0.830168763;-2.359928818;-2.038780249;1.594396073;-3.739359413;-1.164392688;-0.721584915;-2.003462197;-0.651376664;2;0;0
Charleroi;-0.4587081;-1.469267387;0.893713814;-0.216597266;-0.330328932;0.539499011;-0.406707637;-0.673288147;0.623471644;-1.304852646;-0.166947667;0.981086983;-0.637391344;1;0;0
Cluj-Napoca;-0.089601874;-0.167146015;-1.155617863;-0.101634102;-0.380312915;-0.507516594;-0.486105764;0.858930921;-0.086756667;-0.251402967;-0.337605282;-1.487949156;-0.722842836;1;0;0
Copenhagen;1.017716805;1.010963799;0.707410935;-0.906376251;1.619046409;1.34489563;1.463559357;-0.857154435;0.319088082;0.591356776;1.496964078;0.953954718;0.880882826;3;0;1
Cracow;-0.274154987;1.631021595;-2.087132261;-2.170971056;-1.704888466;-1.780043252;-0.733122159;1.0581194;-0.238948449;0.450896819;-1.574872989;-2.003462197;-0.632099768;2;0;0
Debrecen;0.002674683;0.576923341;-0.037800584;-1.251265743;1.694022383;0.201232431;0.299053493;0.062177006;-2.065249821;1.153196605;2.478245363;0.112854495;-0.622405401;3;0;0
Espoo;-1.842856448;1.631021595;-0.410406344;-0.676449922;1.993926282;1.199924238;1.243009004;-0.97973196;-0.796984979;1.223426583;0.131703159;0.845425657;-0.078746184;3;0;0
Ghent;0.094951239;-0.229151794;0.148502295;-0.791413087;0.01955895;0.94219732;0.537247875;-0.688610337;0.166896301;-0.953702753;0.984991233;0.6554998;-0.545743861;3;0;0
Glasgow;0.556334022;0.638929121;-0.969314983;-0.446523594;-0.380312915;0.539499011;0.951882538;-0.795865672;0.724932831;-1.09416271;1.070320041;0.791161127;-0.801728831;3;0;0
Goteborg;-0.366431543;0.576923341;-0.224103464;-0.561486758;0.894278654;0.958305253;1.34005116;-0.949087579;-0.94917676;-0.251402967;-0.124283263;0.845425657;0.06564063;3;0;0
Graz;1.017716805;0.886952239;-0.969314983;-1.021339415;0.819302679;0.732794199;1.022458651;-1.025698532;-0.137487261;0.802046712;0.25969637;1.279541901;-0.382090217;3;0;0
Hamburg;0.371780909;0.204888663;0.148502295;0.243255391;0.244486874;0.587822808;0.846018369;-0.550710621;0.724932831;-0.672782838;0.387689582;0.465573943;-0.599129229;3;1;0
Helsinki;-1.104643996;1.010963799;-0.224103464;0.243255391;1.744006366;1.103276644;0.890128439;-0.673288147;-1.152099135;0.38066684;0.046374352;0.845425657;1.115841487;3;0;1
Iasi;0.371780909;-2.027319404;-1.900829382;-0.446523594;-0.480280881;-0.733027648;-0.583147919;1.088763781;0.420549269;-0.813242796;-1.788195008;-2.38331391;-0.693631804;2;0;0
Linz;-0.089601874;0.948958019;-0.783012103;-0.906376251;1.044230603;0.426743484;0.881306425;-1.056342914;0.065435114;1.363886541;0.856998022;1.11674831;-0.550085279;3;0;0
Lisbon;-1.104643996;-0.167146015;-0.410406344;1.507850196;0.119526916;0.281772093;0.03439307;-0.535388431;-0.188217855;-0.040713031;-0.380269685;0.302780352;-0.079726273;1;0;1
Ljubljana;1.755929257;-0.353163354;-0.037800584;-0.101634102;-0.505272872;-1.36123701;-1.183044879;1.257307878;-1.304290916;-1.796462496;0.131703159;-1.080965177;1.438197453;2;0;1
Lodz;0.925440248;-2.895400319;-1.900829382;-2.056007892;-1.404984568;-1.36123701;-1.474171345;1.042797209;0.217626895;-0.181172988;1.624957289;-1.379420095;-0.660794215;2;0;0
London;1.017716805;0.018871324;-0.037800584;0.818071212;-0.030425033;0.523391078;0.740154199;-0.550710621;-0.188217855;-0.672782838;1.539628482;0.628367535;1.506718131;3;1;1
Lyon;-0.73553777;0.204888663;0.148502295;0.013329063;0.01955895;0.652254537;0.360807592;-1.025698532;0.623471644;-1.234622667;0.430353985;0.492706209;-0.835272744;3;0;0
